Family,Hybridising species,Location,Direction to,Reference
Bufonidae,Bufo turanensis (2n = 2x  =22) X Bufo pewzowi (2n = 4x = 44)allo,Kyrgyzstan,Diploid,"(Stöck et al., 2010)"
Cyprinidae,Squalius alburnoides (2n = 2x = 50; 3n = 75; 4n = 100) X S. pyrenaicus (2n = 2x = 50)allo,Iberia,-,"(Alves et al., 2001, Crespo-López et al., 2007)"
Myobatrachidae,Neobatrachus sutor (2n = 2x = 24) x N. kunapalari (2n = 4x = 48)auto,Australia,Tetraploid,"(Novikova et al., 2020)"
Aspleniaceae,Asplenium scolopendrium (2n = 2x = 72) x A. adiantum-nigrum (2n = 4x = 144),Britain,-,"(Stace et al., 2015)"
Cyatheaceae,Gymnosphaera denticulata (2n = 2x = 138) x G. metteniana (2n = 4x = 274)allo,China,Tetraploid,"(Wang et al., 2020)"
Dryopteridaceae,Polystichum setiferum (2n = 2x = 82) x P. aculeatum (2n = 4x = 164) ,Britain,-,"(Manton, 1950)"
Asteraceae,Achillea clypeolata (2n = 2x = 18) x A. collina (2n = 4x = 36)allo,Bulgaria,Tetraploid,"(Guo et al., 2005)"
Asteraceae,Centaurea pseudophrygia (2n = 2x = 22) x C. jacea (2n = 4x = 44),Czech Republic,-,"(Koutecky et al., 2011)"
Asteraceae,Cirsium carniolicum ssp. rufescens (2n = 2x = 16) x C. palustre (2n = 4x = 34),France,Tetraploid,"(Segarra-Moragues et al., 2007)"
Asteraceae,Ixeris repens (2n = 2x = 16) x I. debilis (2n = 6x = 48)auto,Japan,Hexaploid(?),"(Denda and Yokota, 2003)"
Asteraceae,Packera paupercula (2n = 4x = 44) x P. indecora (2n = 8x = 88),USA; Michigan,-,"(Kowal et al., 2011)"
Asteraceae,Senecio madagascariensis (2n = 2x) x S. pinnatifolius (2n = 4x),Australia,-,"(Prentis et al., 2007)"
Asteraceae,Senecio squalidus (2n = 2x = 20) x S. vulgaris (2n = 4x = 40)allo,Britain,Tetraploid; chromosome doubling,"(Abbott et al., 2007); (Irwin and Abbott, 1992); (Abbott et al., 1992b); (Chapman and Abbott, 2010); (Abbott and Lowe, 2004)"
Betulaceae,Betula nana (2n = 2x = 28) x B. pubescens (2n = 4x = 56)allo,Britain,Tetraploid; both(?),"(Wang et al., 2014); (Thorsson et al., 2007); (Palme et al., 2004)"
Betulaceae,Betula pendula (2n = 2x = 28) x B. pubescens (2n = 4x = 56)allo,Britain,Tetraploid,"(Zohren et al., 2016)"
Betulaceae,Betula × purpusii (2n = 5x = 70) x B. alleghaniensis (2n = 6x = 84)allo,Michigan; USA,Hexaploid,"(Barnes and Dancik, 1985)"
Brassicaceae,Cardamine apennina (2n =2x = 16) x C. amporitana (2n = 4x = 32),Italy,Tetraploid,"(Lihova et al., 2004)"
Brassicaceae,Cardamine × insueta (2n = 3x = 24) x C. pratensis (2n = 4x = 32) ,Switzerland,-,"(Mandakova et al., 2013)"
Brassicaceae,Cochlearia officinalis (2n = 4x = 24) x C. danica (2n = 6x = 42) ,Britain,Tetraploid,"(Fearn, 1977)"
Brassicaceae,Draba incana (2n = 4x = 32) x D. norvegica (2n = 6x = 48)allo,Scandinavia,-,"(Brochmann et al., 1992)"
Brassicaceae,Draba nivalis (2n = 2x = 16) x D. daurica (2n = 8x = 64),Scandinavia,-,"(Brochmann et al., 1992)"
Brassicaceae,Draba arctica (2n = 10x = 80) x D. corymbosa (2n = 16x = 128)allo,Scandinavia,-,"(Brochmann et al., 1992)"
Brassicaceae,Rorippa austraica (2n = 2x = 16) x R. sylvestris (2n = 4x/6x = 32/48),Germany,Both,"(Bleeker, 2003); see also (Bleeker, 2007)"
Fabaceae,Lotus stepposus (2n = 2x = 12) x L. × ucrainicus (2n = 4x =24)allo,"Ukraine, Turkmenistan, Kazakhstan, Mongolia",-,"(Kramina et al., 2018)"
Liliaceae,Erythronium mesochoreum (2n = 2x = 22) x E. albidum (2n = 4x = 44) ,Nebraska; USA,-,"(Roccaforte et al., 2015)"
Orchidaceae,Dactylorhiza fuchsii (2n = 2x = 40) x D. praetermissa (2n = 4x = 80)allo,Belgium,-,"(De Hert et al., 2012)"
Orchidaceae,Dactylorhiza incarnata (2n = 2x = 40) x D. praetermissa (2n = 4x = 80)allo,Belgium,-,"(De Hert et al., 2012); (De Hert et al., 2011)"
Orchidaceae,Dactylorhiza incarnata subsp. cruenta (2n = 2x = 40) x D. lapponica (2n = 4x = 80)allo,Norway,Tetraploid,"(Aagaard et al., 2005)"
Orchidaceae,Dactylorhiza incarnata (2n = 2x = 40) x D. traunsteineri (2n = 4x = 80)allo,Sweden,Tetraploid,"(Hedren, 2003); see also (Balao et al., 2017)"
Orchidaceae,Dactylorhiza fuchsii (2n = 2x = 40) x D. maculata (2n = 4x = 80)auto,Europe to Caucasus,-,"(Shipunov et al., 2004)"
Orchidaceae,Epidendrum fulgens (2n = 2x = 24) x E. puniceoluteum (2n = 4x = 52),Brazil,Tetraploid,"(Pinheiro et al., 2010)"
Orobanchaceae,Euphrasia anglica (2n = 2x = 22) x E. micrantha (2n = 4x = 44)allo,Britain,Diploid(?),"(Yeo, 1956); (French et al., 2008)"
Phrymaceae,Mimulus guttatus (2n = 2x = 28) x M. luteus (2n = 4x = 60-2)allo,Britain,Chromosome doubling,"(Vallejo-Marin, 2012)"
Plantaginaceae,Callitriche cophocarpa (2n = 2x = 10) x C. platycarpa (2n = 4x = 20)allo,Europe,-,"(Prancl et al., 2014)"
Poaceae,Vulpia fasciculata (2n = 4x = 28) x Festuca rubra (2n = 6x = 42) ,Britain,Hexaploid(?),"(Bailey et al., 1993)"
Polygalaceae,Polygala calcarea (2n = 2x = 34) x P. vulgaris (2n = 4x = 68),Britain,Tetraploid,"(Lack, 1995)"
Polygonaceae,Fallopica sachaliensis (2n = 4x = 44) x F. japonica var japonica (2n = 8x = 88),Britain,-,"(Bailey, 2013); see also (Bailey and Wisskirchen, 2004) and (Hollingsworth et al., 1999)"
Polygonaceae,Rumex obtusifolius (2n = 4x = 40) x R. aquaticus (2n = 20x = 200),Britain,20-ploid,"(Ruhsam et al., 2015)"
Primulaceae,Dodecatheon frenchii (2n = 2x = 44) x D. meadia (2n = 4x = 88),Illinois; USA,Tetraploid,"(Oberle et al., 2012)"
Rannunculaceae,Aconitum variegatum (2n = 2x = 16) x A. firmum (2n = 4x = 32)allo,Europe,Diploid?,"(Sutkowska et al., 2017)"
Rannunculaceae,Ficaria calthifolia (2n = 2x = 16) x F. verna subsp. verna (2n = 4x = 32),Europe,-,"(Popelka et al., 2019)"
Rosaceae,Rosa rugosa (2n = 2x = 14) x R. mollis (2n = 4x = 28),Europe,Tetraploid,"(Kellner et al., 2012)"
Violaceae,Viola reichenbachiana (2n = 2x = 20) x V. riviniana (2n = 4x = 40)allo,Germany,-,"(Neuffer et al., 1999); see also (Migdalek et al., 2017)"